metric_ID	metric_name	deviance(decrease)	percent_decrease_of_root
root		3436.21450742857	NA
X2	diffav2550_b3	3.02619157142857	0.0880675977848998
X3	diffav2550_b3_NBR	1.87583785714286	0.0545902432193212
X4	diffav2550_b3_NDVI	13.3396367142857	0.388207333548225
X5	diffav2550_b3_TERM	9.39441214285714	0.273394228519432
X6	diffav2550_b4	1.66408657142857	0.0484279013382625
X7	diffav2550_b4_NBR	2.44202828571429	0.0710673993266425
X8	diffav2550_b4_NDVI	4.91761442857143	0.143111392433164
X9	diffav2550_b4_TERM	0	0
X10	diffav2550_b5	0.896996857142857	0.0261042159971005
X11	diffav2550_b5_NBR	0	0
X12	diffav2550_b5_NDVI	1.09116714285714	0.031754919272304
X13	diffav2550_b5_TERM	0	0
X14	diffav2550_b7	5.19867728571429	0.151290825251903
X15	diffav2550_b7_NBR	0	0
X16	diffav2550_b7_NDVI	1.88695314285714	0.0549137179526435
X17	diffav2550_b7_TERM	0	0
X18	diffav2550_NBR	1.75930842857143	0.051199028022496
X19	diffav2550_NDVI	2.89797842857143	0.0843363655646771
X20	diffavmin10_b3	0	0
X21	diffavmin10_b3_NBR	0	0
X22	diffavmin10_b3_NDVI	3.36247357142857	0.0978540066156934
X23	diffavmin10_b3_TERM	1.480583	0.0430876185639519
X24	diffavmin10_b4	4.072588	0.118519609040579
X25	diffavmin10_b4_NBR	3.66610542857143	0.106690237778982
X26	diffavmin10_b4_NDVI	10.19421	0.296669779432037
X27	diffavmin10_b4_TERM	0	0
X28	diffavmin10_b5	3.38086528571429	0.0983892384600953
X29	diffavmin10_b5_NBR	0	0
X30	diffavmin10_b5_NDVI	3.80344557142857	0.110687082055154
X31	diffavmin10_b5_TERM	0	0
X32	diffavmin10_b7	2.07831928571429	0.060482815645568
X33	diffavmin10_b7_NBR	1.40627342857143	0.0409250768696564
X34	diffavmin10_b7_NDVI	6.80596671428571	0.198065827950271
X35	diffavmin10_b7_TERM	0	0
X36	diffavmin10_NBR	0	0
X37	diffavmin10_NDVI	0	0
X38	difffirst_b3	0	0
X39	difffirst_b4	3.52187485714286	0.102492869683458
X40	difffirst_b5	0	0
X41	difffirst_b7	1.67753457142857	0.0488192622376164
X42	difffirst_NBR	2.957896	0.0860800742679329
X43	difffirst_NDVI	8.494442	0.247203484579799
X44	diffmeanfirst_b3	0	0
X45	diffmeanfirst_b4	0	0
X46	diffmeanfirst_b5	11.3934617142857	0.331570153424787
X47	diffmeanfirst_b7	104.878615428571	3.05215565564489
X48	diffmeanfirst_NBR	10.1184972857143	0.294466403766111
X49	diffmeanfirst_NDVI	0	0
X50	diffmedfirst_b3	2.036973	0.0592795646370846
X51	diffmedfirst_b4	2.92245314285714	0.0850486236100582
X52	diffmedfirst_b5	0	0
X53	diffmedfirst_b7	0	0
X54	diffmedfirst_NBR	0	0
X55	diffmedfirst_NDVI	82.7141284285714	2.40712936429772
X56	dem	2.90760171428571	0.0846164204242757
X57	aspect	0	0
X58	av1025_b3	11.3588554285714	0.330563048494654
X59	av1025_b3_NBR	0	0
X60	av1025_b3_NDVI	0	0
X61	av1025_b3_TERM	0	0
X62	av1025_b4	0	0
X63	av1025_b4_NBR	0	0
X64	av1025_b4_NDVI	2.20661571428571	0.0642164716293278
X65	av1025_b4_TERM	0	0
X66	av1025_b5	2.18038357142857	0.0634530692631358
X67	av1025_b5_NBR	0	0
X68	av1025_b5_NDVI	0	0
X69	av1025_b5_TERM	0	0
X70	av1025_b7	0	0
X71	av1025_b7_NBR	0	0
X72	av1025_b7_NDVI	0	0
X73	av1025_b7_TERM	0	0
X74	av1025_NBR	4.05073885714286	0.117883759828898
X75	av1025_NDVI	0	0
X76	av1050_b3	0	0
X77	av1050_b3_NBR	0	0
X78	av1050_b3_NDVI	0	0
X79	av1050_b3_TERM	0	0
X80	av1050_b4	0	0
X81	av1050_b4_NBR	0	0
X82	av1050_b4_NDVI	0	0
X83	av1050_b4_TERM	0	0
X84	av1050_b5	0	0
X85	av1050_b5_NBR	0	0
